ID,class1,class2,class3,class4,class5,class6,class7,class8,class9
0,0.1167858077871086,0.21991139540095345,0.06359256951532798,0.07444635306557439,0.06734536015039709,0.04202043576902344,0.34815403477631235,0.03606665925539672,0.03167738427990582
1,0.08909529188197757,0.2220251605688848,0.03784677405971282,0.11999931108947676,0.05865153887369573,0.05300533949058721,0.3789231526721385,0.020300849631693,0.020152581731833503
2,0.09398285605606627,0.18413271306807064,0.03992296162351944,0.061099951026016126,0.06186902830662764,0.05591309132412723,0.4604067844034718,0.021414507865114146,0.02125810632698699
3,0.11018661560618204,0.1744575589257411,0.02937399889824149,0.10095931244185782,0.056816754696454815,0.05418138003252144,0.4363749653033288,0.018893702425616877,0.018755711670055443
4,0.21385316306868504,0.09439911732330197,0.07253422155285365,0.41217201017622734,0.049653783154613045,0.05229086073615607,0.06195286860032752,0.019662235873113398,0.023481739514722003
5,0.23291198702703791,0.11220437292846754,0.05761550054913158,0.22649058164054928,0.05385900946645589,0.0903502457013419,0.16527897919331733,0.028068185698881917,0.03322113779481657
6,0.10698176526548914,0.16121326246961068,0.038620375571177784,0.11278202816061268,0.06037356103196652,0.071107403814179,0.40706251892218104,0.020896887068541516,0.02096219769624147
7,0.05547020507695257,0.03867716420930759,0.013627316240154048,0.14548772757675224,0.022212811226680774,0.024975000908671986,0.040925390804589123,0.008795976982941375,0.6498284069739504
8,0.24851673652466516,0.08868622234920737,0.06059527353945428,0.2025778586783398,0.07954015062943143,0.08638287964149208,0.16421963491555858,0.03047024607337425,0.039010997648477236
9,0.17076270102522878,0.0861863752453164,0.03845698878398867,0.41057386568464305,0.06072367167698745,0.07048073978020847,0.11342182421760624,0.02482270039206013,0.024571133193960665
10,0.17466800241023553,0.10506910836142763,0.031519720074868696,0.42648297235817795,0.05137780466838013,0.0541064438227825,0.11213397745587657,0.020344925398470565,0.024297045449780334
11,0.18073087132919213,0.08350801798091319,0.028823865244942917,0.37821292420413477,0.046360486560559966,0.04798258702651089,0.19314215928523848,0.01804225309424121,0.02319683527426672
12,0.21600025744003795,0.09036007186456692,0.03183701028642563,0.4307761219230705,0.05580553757758113,0.06368606638166958,0.06722804477748615,0.02054972562094899,0.02375716412821305
13,0.19789011884367616,0.1532558821336752,0.02769609470607713,0.09128550753987208,0.0477188716254249,0.04824393566891028,0.397348407325471,0.0191028455749322,0.017458336581961116
14,0.16698937267114816,0.10045013540135114,0.030134072694725452,0.32171688700303525,0.0491191703826964,0.051727855055057906,0.23718305432281217,0.019450536345819124,0.02322891612335421
15,0.09253349612705015,0.22825697061914405,0.02785055202451671,0.10058879658061264,0.04578459870904625,0.043322579263169736,0.42287423202904095,0.020266739979872214,0.018522034667547312
16,0.1693973448243051,0.11654541463553486,0.04544842231981961,0.3160451820958221,0.09457545588463936,0.07001865158637441,0.13913665391729946,0.02437834162712622,0.024454533109078972
17,0.14331653523884583,0.12789582073043987,0.037701221145479254,0.11768968036661306,0.06065733543763431,0.06580623457106538,0.40163957898843955,0.023477058129694545,0.02181653539178833
18,0.11540265436934437,0.1768055851804567,0.041247137390666294,0.06375891462451015,0.06392111724715091,0.06042602896177708,0.43411983364072243,0.022124790149473897,0.022193938435898203
19,0.10304166168773772,0.15337162390009032,0.13854814453023565,0.10105665603609441,0.04775490982778536,0.04463810927199916,0.3775212950101275,0.01709623130203438,0.016971368433895725
